cluster_id	real_read_count
consensus_barcode_59_026083024001_trimmed_0_9(360)	7124
consensus_barcode_59_026083024001_trimmed_0_0(2994)	11922
consensus_barcode_59_026083024001_trimmed_0_10(10)	36
consensus_barcode_59_026083024001_trimmed_0_7(13)	100
consensus_barcode_59_026083024001_trimmed_0_18(27)	290
consensus_barcode_59_026083024001_trimmed_0_14(24)	733
consensus_barcode_59_026083024001_trimmed_0_4(16)	330
consensus_barcode_59_026083024001_trimmed_0_6(84)	1
consensus_barcode_59_026083024001_trimmed_0_13(55)	482
consensus_barcode_59_026083024001_trimmed_0_17(26)	325
consensus_barcode_59_026083024001_trimmed_1_0(318)	17416
consensus_barcode_59_026083024001_trimmed_0_8(22)	431
consensus_barcode_59_026083024001_trimmed_0_12(28)	701
consensus_barcode_59_026083024001_trimmed_0_16(19)	268
consensus_barcode_59_026083024001_trimmed_0_15(16)	341
consensus_barcode_59_026083024001_trimmed_0_3(18)	194
consensus_barcode_59_026083024001_trimmed_0_5(14)	636
consensus_barcode_59_026083024001_trimmed_0_11(60)	72
consensus_barcode_59_026083024001_trimmed_0_2(37)	327
consensus_barcode_59_026083024001_trimmed_0_1(4386)	15020
