, barcode_59_026083024001_trimmed
Total, 56749
barcode_59_026083024001_trimmed_0_0, 2994
barcode_59_026083024001_trimmed_0_1, 4386
barcode_59_026083024001_trimmed_0_2, 37
barcode_59_026083024001_trimmed_0_3, 18
barcode_59_026083024001_trimmed_0_4, 16
barcode_59_026083024001_trimmed_0_5, 14
barcode_59_026083024001_trimmed_0_6, 84
barcode_59_026083024001_trimmed_0_7, 13
barcode_59_026083024001_trimmed_0_8, 22
barcode_59_026083024001_trimmed_0_9, 360
barcode_59_026083024001_trimmed_0_10, 10
barcode_59_026083024001_trimmed_0_11, 60
barcode_59_026083024001_trimmed_0_12, 28
barcode_59_026083024001_trimmed_0_13, 55
barcode_59_026083024001_trimmed_0_14, 24
barcode_59_026083024001_trimmed_0_15, 16
barcode_59_026083024001_trimmed_0_16, 19
barcode_59_026083024001_trimmed_0_17, 26
barcode_59_026083024001_trimmed_0_18, 27
barcode_59_026083024001_trimmed_1_0, 318
