cluster_id	real_read_count
consensus_barcode_58_026080721102_trimmed_0_2(29)	425
consensus_barcode_58_026080721102_trimmed_0_4(20)	402
consensus_barcode_58_026080721102_trimmed_0_7(11)	736
consensus_barcode_58_026080721102_trimmed_0_1(42)	2345
consensus_barcode_58_026080721102_trimmed_0_0(8875)	69821
consensus_barcode_58_026080721102_trimmed_0_8(26)	164
consensus_barcode_58_026080721102_trimmed_0_3(21)	488
consensus_barcode_58_026080721102_trimmed_0_6(23)	818
consensus_barcode_58_026080721102_trimmed_1_1(28)	115
consensus_barcode_58_026080721102_trimmed_1_0(23)	106
consensus_barcode_58_026080721102_trimmed_0_5(42)	387
