task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
56	11/f8ab42	4105687	MEDAKA_CONSENSUS (barcode_68_TPOSP020xPCR1test)	COMPLETED	0	2026-08-19 17:06:00.815	1m 11s	1m 11s	105.1%	441.9 MB	1.4 GB	879.6 MB	40.6 MB
57	ed/39a12a	4131396	ALIGN_BAM (barcode_68_TPOSP020xPCR1test)	COMPLETED	0	2026-08-19 17:07:12.244	1.6s	1.3s	229.1%	24.4 MB	941.3 MB	38.1 MB	31.6 MB
58	a1/b10211	4131809	COUNT_REAL_READS (barcode_68_TPOSP020xPCR1test)	COMPLETED	0	2026-08-19 17:07:13.885	478ms	122ms	131.7%	10.7 MB	71.6 MB	25.3 MB	18.4 MB
35	15/de5f4d	3786434	AMPLICON_SORTER (barcode_65_026083024001xPCR1test)	COMPLETED	0	2026-08-19 16:56:25.448	11m 58s	11m 58s	206.5%	1.3 GB	7.6 GB	468.3 MB	286.5 MB
38	33/4b03f7	3799544	AMPLICON_SORTER (barcode_66_026084395002xPCR1test)	COMPLETED	0	2026-08-19 16:56:34.171	12m 36s	12m 36s	220.2%	1.7 GB	7.9 GB	534.7 MB	325.9 MB
59	75/e06213	4150208	MEDAKA_CONSENSUS (barcode_65_026083024001xPCR1test)	COMPLETED	0	2026-08-19 17:08:23.086	1m 14s	1m 13s	116.6%	401.7 MB	1 GB	942.2 MB	84.7 MB
61	77/46fa79	4168417	ALIGN_BAM (barcode_65_026083024001xPCR1test)	COMPLETED	0	2026-08-19 17:09:36.880	4.2s	3.9s	272.3%	74.4 MB	941.3 MB	89.4 MB	74.3 MB
62	9c/bb007c	4169790	COUNT_REAL_READS (barcode_65_026083024001xPCR1test)	COMPLETED	0	2026-08-19 17:09:41.053	527ms	235ms	140.2%	20 MB	166.6 MB	58.9 MB	42.8 MB
60	1a/bdf673	4161399	MEDAKA_CONSENSUS (barcode_66_026084395002xPCR1test)	COMPLETED	0	2026-08-19 17:09:10.649	1m 14s	1m 14s	120.7%	400.8 MB	1 GB	949.8 MB	90.3 MB
63	17/6d163e	4177282	ALIGN_BAM (barcode_66_026084395002xPCR1test)	COMPLETED	0	2026-08-19 17:10:25.075	4.9s	4.6s	286.1%	89.1 MB	1.3 GB	95.8 MB	79.7 MB
64	e5/972ed8	4179048	COUNT_REAL_READS (barcode_66_026084395002xPCR1test)	COMPLETED	0	2026-08-19 17:10:29.989	605ms	255ms	140.7%	5.2 MB	37.5 MB	63.3 MB	45.9 MB
45	d6/a13acb	3916932	AMPLICON_SORTER (barcode_57_026079402703)	COMPLETED	0	2026-08-19 17:00:04.189	12m 50s	12m 50s	300.4%	4.2 GB	10.3 GB	1.8 GB	895 MB
43	b9/9e40bf	3834121	AMPLICON_SORTER (barcode_59_026083024001)	COMPLETED	0	2026-08-19 16:57:14.200	16m 23s	16m 23s	111.1%	4.8 GB	9.5 GB	1002 MB	690.7 MB
65	5e/2ca6a6	4085	MEDAKA_CONSENSUS (barcode_57_026079402703)	COMPLETED	0	2026-08-19 17:12:53.914	1m 24s	1m 23s	166.9%	469.6 MB	7.3 GB	1.7 GB	664.4 MB
67	7c/af30f3	18438	ALIGN_BAM (barcode_57_026079402703)	COMPLETED	0	2026-08-19 17:14:17.678	25.7s	25.4s	240.2%	520.7 MB	1.5 GB	766.4 MB	639.7 MB
68	c3/5e16c0	23525	COUNT_REAL_READS (barcode_57_026079402703)	COMPLETED	0	2026-08-19 17:14:43.379	2.1s	1.8s	136.0%	25.8 MB	166.6 MB	504.9 MB	368.3 MB
41	2a/3a2b19	3811387	AMPLICON_SORTER (barcode_60_026084395002)	COMPLETED	0	2026-08-19 16:56:43.928	18m 34s	18m 34s	123.1%	2.7 GB	8.9 GB	932.5 MB	595.6 MB
