sample	genotype	best_cluster	total_reads	ratio_percent	ratio_num	pident	length	strand	status
barcode_03_026104456603	A2	barcode_03_026104456603	19862	100.00	100.00	99.703	1010	minus	VALIDATED
barcode_02_026104456602	C1	barcode_02_026104456602	19860	100.00	100.00	98.812	1010	plus	VALIDATED
barcode_04_026104456604	D3	barcode_04_026104456604	19913	100.00	100.00	98.119	1010	plus	VALIDATED
barcode_01_026104456601	A2	barcode_01_026104456601	19324	100.00	100.00	99.703	1010	minus	VALIDATED
barcode_05_026098184903	E	barcode_05_026098184903	19855	100.00	100.00	98.119	1010	plus	VALIDATED
barcode_07_TPOSP024	D3	barcode_07_TPOSP024	19397	100.00	100.00	98.812	1010	plus	VALIDATED
